2017-01-10 16:56:19, INFO, 127.0.0.1, File[ D:\group16\hm_lhkj\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2017-01-10 16:56:19, INFO, 127.0.0.1, File[ D:\group16\hm_lhkj\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://127.0.0.1/hm_lhkj//plugins/OnlinePay/Unionpay/notify_url.php&bizType=000000&certId=70334376308&channelType=07&currencyCode=156&encoding=UTF-8&merId=898110272950092&orderDesc=领航科技&orderId=20170110165618ID3&reqReserved=20170110165618ID3&signMethod=01&txnAmt=41000&txnSubType=01&txnTime=20170110165619&txnType=01&version=5.0.0 
2017-01-10 16:56:19, INFO, 127.0.0.1, File[ D:\group16\hm_lhkj\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >1c1c960b69022faedae560b6216190b4a5647181 
2017-01-10 16:56:19, INFO, 127.0.0.1, File[ D:\group16\hm_lhkj\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >0/71DnbbSsUq620lcxvkXykn05985gWW419+GVi2NoFnkPk9WdRl+Q0C1noj2uWt2ArI4puHItopztKyw72F1z4Jx4Qk55kv0FqV6UMTtQ9Oz69zWLsKkievf/IxHrD6fA++Nq9wLsTiNINXnTh6VrZt0C2Yc019ihlvi65wb1ApQWPKzF/ZKU1bYlgESn21/j3OyLG4/yu9CbxYJUGRw9QAVStNfHFAADTzZtK0DUZjuwIWz1sXprBqwN+PVulKlcGXe1EfpSS+lfgnSHan2w1wWqKbEXowtEvkiiyPcQFb9NDRJTAcill6GdqS4204ECi0U4YS8blWRWYxzli8gg== 
2017-01-10 16:56:19, INFO, 127.0.0.1, File[ D:\group16\hm_lhkj\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2017-01-10 18:40:13, INFO, 127.0.0.1, File[ D:\group16\hm_lhkj\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2017-01-10 18:40:13, INFO, 127.0.0.1, File[ D:\group16\hm_lhkj\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://127.0.0.1/hm_lhkj//plugins/OnlinePay/Unionpay/notify_url.php&bizType=000000&certId=70334376308&channelType=07&currencyCode=156&encoding=UTF-8&merId=898110272950092&orderDesc=领航科技&orderId=20170110184013ID1&reqReserved=20170110184013ID1&signMethod=01&txnAmt=10&txnSubType=01&txnTime=20170110184013&txnType=01&version=5.0.0 
2017-01-10 18:40:13, INFO, 127.0.0.1, File[ D:\group16\hm_lhkj\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >b46b228a2d3fb462285f62db4d1a75de66c5d4ca 
2017-01-10 18:40:13, INFO, 127.0.0.1, File[ D:\group16\hm_lhkj\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >J/eexzL7SevQkhlBnhqUUdSgTu2Kw/JNfWxLKdjXXGQIOdD672/Z7e4t6chQrnNF6IMIQM/jpe7UTU9HdTYMj6BWEUEQM6hRQfoJM+BNZEwzknGTqDyzVxSFIs9nCwiIWwA9Ew61QSOidrCW8oxDu5D/L/+kf5/Rt72T/ab7kTBG38XKjMTXLlOHZV3yT1sBMMzTicQXZUuR1EibOCcl+CnAXTE/aobJ5lB9ntT1LH/ZVYbaR/72WaQrtF3rbe0/SmwrSlBlRvogV1pwyym7xfipQ52xuRP47TJIAkP2D36gbKmVi+0S19arZ1lgO5b9qMKlABpLeO3LUNhF9NziuA== 
2017-01-10 18:40:13, INFO, 127.0.0.1, File[ D:\group16\hm_lhkj\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2017-01-10 18:40:27, INFO, 127.0.0.1, File[ D:\group16\hm_lhkj\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
